Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Mark P. Gorenberg,Zetta Venture Partners,B2B,Financial Institutions and Services,"Artifical Intelligence & Machine Learning,Big Data",Venture Capital,www.zettavp.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.30,"San Francisco, CA",www.zettavp.com,Over $10 Billion,No,205,2X - 5X,"Revenue driven returns,Acquisition",Heavily Supportive,Via Due Diligence Committee,Days,5,4%,Medium,40%,Yes
Kate Danaher,S2G Ventures,"B2B,B2C","CPG,Agriculture & Forestry,Fashion","AgTech,Big Data,Construction Technology,Manufacturing",Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$3.00,"Chicago, IL",www.s2gventures.com,Under $5 Billion,Yes,500,2X - 5X,Revenue driven returns,Heavily Supportive,Heavily Involved ,Days,,,,,
Carter Weiss,Silas Capital,"B2B,B2C","CPG,Fashion,Software and Information Services,Food and Beverage,Travel & Leisure,Electronics and Computer Hardware","Cannabis,Beauty & Wellness,Ecommerce???,Cybersecurity,Manufacturing,SportsTech",Growth/Expansion,www.silascapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.50,"New York, NY",www.silascapital.com,,Yes,105,2X - 5X,Revenue driven returns,Weak,Heavily Involved ,Months,,,,,
Prasad Ramaswamy,Zephyr Management,"B2B,B2C","CPG,Machinery & industrial goods,Agriculture & Forestry","Beauty & Wellness,Life Sciences,Manufacturing",PE/Buyout,www.zmlp.com,"Africa, Asia, Central America, Middle East, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$2.00,"New York, NY",www.zmlp.com,$5B to $10B,No,1000,10X and above,"Liquidation,Acquisition",Weak,Accept Others DD Reports,Months,5,5%,Low,50%,Case by case
Justine Lee,25madison,"B2B,B2C","CPG,Financial Institutions and Services","Artifical Intelligence & Machine Learning,FinTech,Climate Tech,Construction Technology,Cryptocurrency/Blockchain,FemTech,Digital Health,Foodtech",Accelerator/Incubator,www.25madison.com,"Canada, Israel, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.30,"New York, NY",www.25madison.com,Over $10 Billion,Yes,40,2X - 5X,"Acquisition,Liquidation",Weak,Accept Others DD Reports,Months,,,,,
Claudio Giuliano,Innogest Capital,"B2C,B2B","CPG,Financial Institutions and Services","Ecommerce???,HealthTech,Life Sciences",Venture Capital,www.innogestcapital.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.82,"Turin, Italy",www.innogestcapital.com,$5B to $10B,Yes,60,Over 5X and under 10X,"Acquisition,Liquidation",On Demand,Accept Others DD Reports,Days,,,,,
Pankaj SHANKARLAL Jethwani,W Health Ventures,B2B,"Healthcare,Medical Devices & Equipment","Digital Health,HealthTech,MedTech",Venture Capital,www.whealthventures.com,"India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$1.00,"Pittsburgh, PA",www.whealthventures.com,Under $5 Billion,Yes,109,Over 5X and under 10X,Revenue driven returns,On Demand,Heavily Involved ,Days,5,14%,High,38%,Yes
Ronald Wayne Burkle,Inevitable Ventures,B2B,"Healthcare,Software and Information Services,Biotech and Pharmaceuticals ","AgTech,Ecommerce???,HealthTech,Life Sciences,Mobile",Venture Capital,www.inevitablevc.com,"England, Germany, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$1.00,"Los Angeles, CA",www.inevitablevc.com,Over $10 Billion,Yes,300,Over 5X and under 10X,Liquidation,On Demand,Heavily Involved ,Days,,,,,
Shervin Kordary Pishevar,Shervin Pishevar,B2B,"Healthcare,Software and Information Services",,Angel (individual),www.pishevar.com,"408, 650","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.03,"San Francisco, CA",www.pishevar.com,$5B to $10B,No,70,Over 5X and under 10X,IPO,Heavily Supportive,Heavily Involved ,Weeks,3,10%,High,30%,No
Matthew Lee,Progression Fund,B2B,"Healthcare,Educational and Training Services,Medical Devices & Equipment,Software and Information Services","Ecommerce???,EdTech,FinTech,Gaming,MedTech",Venture Capital,www.progression.fund,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.15,$0.25,"Los Angeles, CA",www.progression.fund,Under $5 Billion,No,600,10X and above,Revenue driven returns,Heavily Supportive,Heavily Involved ,Weeks,,,,,
Wally Wang,Scale Asia Ventures,"B2B,B2C","Healthcare,Financial Institutions and Services,Construction and Civil Engineering,Educational and Training Services","Digital Health,HealthTech,Artifical Intelligence & Machine Learning",Venture Capital,www.sav.vc,"Asia, Canada, Europe, Israel, United States",Pre-SEED,"Convertible Debt,SAFE,Debt",$0.00,$0.20,"Menlo Park, CA",www.sav.vc,$5B to $10B,Yes,50,10X and above,"Acquisition,Liquidation",Heavily Supportive,Heavily Involved ,Months,,,,,
Paul Bricault,Amplify.LA,"B2C,B2B","Healthcare,CPG,Software and Information Services","Mobile,Manufacturing,Ecommerce???,Gaming",Venture Capital,www.amplify.la,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Los Angeles, CA",www.amplify.la,Under $5 Billion,Yes,100,10X and above,"IPO,Acquisition",On Demand,Via Due Diligence Committee,Months,,,,,
Sara Brand,True Wealth Ventures,B2C,Healthcare,"Climate Tech,Digital Health,FemTech,Foodtech,HealthTech,Beauty & Wellness",Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Pre-SEED,SEED,Series A","Convertible Debt,SAFE,Debt",$0.05,$0.20,"Austin, TX",www.truewealthvc.com,$5B to $10B,No,20,10X and above,Revenue driven returns,On Demand,Via Due Diligence Committee,Months,,,,,
Will Cruz,SC Launch,,,,Government,www.scra.org/sclaunchinc,United States,"Bridge Round,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Columbia, SC",www.scra.org/sclaunchinc,Over $10 Billion,,,,,,,,,,,,
Bárbara Kunde Minuzzi,BABEL Ventures,,,,Venture Capital,www.babel.ventures,"Americas, United States","Bridge Round,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.30,"San Francisco, CA",www.babel.ventures,Over $10 Billion,,,,,,,,,,,,
Brandon Shelton,TFX Capital,,,,Venture Capital,www.tfxcap.com,United States,"Bridge Round,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.05,"Charlotte, NC",www.tfxcap.com,Over $10 Billion,,,,,,,,,,,,
Phil Nadel,Forefront Venture Partners,,,,Venture Capital,www.forefrontvp.com,"Canada, Israel, United States, Western Europe","Bridge Round,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.10,"Boca Raton, FL",www.forefrontvp.com,$5B to $10B,,,,,,,,,,,,
Kesha Cash,Impact America Fund,,,,Venture Capital,www.impactamericafund.com,United States,"Bridge Round,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Oakland, CA",www.impactamericafund.com,Under $5 Billion,,,,,,,,,,,,
Vinnie Lauria,Golden Gate Ventures,,,,Venture Capital,www.goldengate.vc,Southeast Asia,"Bridge Round,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Singapore, Singapore",www.goldengate.vc,Over $10 Billion,,,,,,,,,,,,
Evgeny Zatsev,Bering Capital,,,,Venture Capital,beringcapital.com,"Canada, Europe, United States","Bridge Round,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.80,"San Francisco, CA",beringcapital.com,Under $5 Billion,,,,,,,,,,,,
Prasad Vanga,Anthill Capital Ventures,,,,Venture Capital,www.anthillventures.com,India,"Bridge Round,Pre-SEED","Convertible Debt,SAFE,Debt",$0.01,$0.09,"Hyderabad, India",www.anthillventures.com,Over $10 Billion,,,,,,,,,,,,
Stephanie Campbell,Houston Angel Network,,,,Angel Group,www.houstonangelnetwork.org,United States,"Angel,Bridge Round,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.10,"Houston, TX",www.houstonangelnetwork.org,Over $10 Billion,,,,,,,,,,,,
Scott Thacker,Sand Hill Angels,,,,Angel Group,www.sandhillangels.com,United States,"Angel,Bridge Round,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Mountain View, CA",www.sandhillangels.com,Over $10 Billion,,,,,,,,,,,,
Katharine Allison,Sand Hill Angels,,,,Angel Group,www.sandhillangels.com,United States,"Angel,Bridge Round,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Mountain View, CA",www.sandhillangels.com,$5B to $10B,,,,,,,,,,,,
Sonja Markova,Band of Angels,,,,Angel Group,www.bandangels.com,California,"Angel,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.08,"San Francisco, CA",www.bandangels.com,$5B to $10B,,,,,,,,,,,,
Serdar Topak,Band of Angels,,,,Angel Group,www.bandangels.com,California,"Angel,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.08,"San Francisco, CA",www.bandangels.com,Over $10 Billion,,,,,,,,,,,,
Matthew Miller,Walden Venture Capital,,,,Venture Capital,www.waldenvc.com,,"Angel,SEED","Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.waldenvc.com,Over $10 Billion,,,,,,,,,,,,
Ian Sobieski,Band of Angels,,,,Angel Group,www.bandangels.com,California,"Angel,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.08,"San Francisco, CA",www.bandangels.com,Over $10 Billion,,,,,,,,,,,,
Sundeep Ahuja,Duro Ventures,,,,Venture Capital,www.duro.vc,,"Angel,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$0.50,"San Francisco, CA",www.duro.vc,$5B to $10B,,,,,,,,,,,,
Joseph Hackett,MI-12 Ventures,,,,Angel Group,www.mi12ventures.com,United States,"Angel,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.20,"York, PA",www.mi12ventures.com,$5B to $10B,,,,,,,,,,,,
