Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Iñigo López-Huerta,Ysios Capital,Pharmaceuticals and Biotechnology,,Life Sciences,Venture Capital,www.ysioscapital.com,Europe,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.17,1.13,"San Sebastián, Spain",www.ysioscapital.com,$500B to $1Trillion,Yes,60%,3.5,81,2X - 5X,"Liquidation,Acquisition",Heavily Supportive,Via Due Diligence Committee,Weeks,1,12%,Medium,5%,Yes
Jyri Engestrom,Yes VC,"Business Products and Services (B2B),Consumer Non-Durables,Healthcare,Information Technology,Retail",,"Artificial Intelligence & Machine Learning,Beauty,Climate Tech,CloudTech & DevOps,Cybersecurity,E-Commerce,LOHAS & Wellness,Micro-Mobility,Mobile,Robotics and Drones,TMT,Wearables & Quantified Self",Venture Capital,www.yes.vc,"Americas, Canada, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"San Francisco, CA",www.yes.vc,$50B to $100B,No,45%,5.0,135,10X and above,"Acquisition,Revenue driven returns",Weak,Heavily Involved ,Months,4,14%,High,12%,No
Keith Nilsson,Xplorer Capital,"Agriculture,Healthcare,Logistics,Software",,"Artificial Intelligence & Machine Learning,Autonomous cars,CleanTech,Cryptocurrency/Blockchain,Digital Health,FinTech,HealthTech,Industrials,Internet of Things,Manufacturing,Mobile,Robotics and Drones",Venture Capital,www.xplorer.vc,North America,"Early Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.10,"Menlo Park, CA",www.xplorer.vc,$100B to $500B,No,36%,10.0,65,Over 5X and under 10X,"IPO,Liquidation,Acquisition",On Demand,Accept Others DD Reports,Months,5,30%,Low,55%,Yes
Frederick C. Tecce,Cross Atlantic Capital Partners,"Commercial Services,Software",,TMT,Venture Capital,www.xacp.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",7.00,2.00,"Radnor, PA",www.xacp.com,$500B to $1Trillion,Yes,80%,13.0,100,2X - 5X,"Acquisition,Liquidation",Heavily Supportive,Via Due Diligence Committee,Months,3,35%,Low,0%,Yes
Dick Leazer,Wisconsin Investment Partners,"Healthcare,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Other Healthcare,Pharmaceuticals and Biotechnology",,HealthTech,Venture Capital,www.wisinvpartners.com,United States,"Angel Round,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,3.00,"Madison, WI",www.wisinvpartners.com,Less than a Billion,Yes,10%,25.0,35,Over 5X and under 10X,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Months,3,7%,Medium,0%,Yes
David Titus,Windward Ventures,"Communications and Networking,Software",,"SaaS,TMT",Venture Capital,www.windwardventures.com,Southern California,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"San Diego, CA",www.windwardventures.com,Over $1Trillion,No,2%,15.0,67,10X and above,"IPO,Liquidation,Acquisition",Heavily Supportive,Heavily Involved ,Days,3,12%,Low,100%,Yes
Pankaj SHANKARLAL Jethwani,W Health Ventures,Healthcare,,"Digital Health,HealthTech",Venture Capital,www.whealthventures.com,"India, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.50,"Pittsburgh, PA",www.whealthventures.com,Less than a Billion,Yes,10%,10.0,109,Over 5X and under 10X,Revenue driven returns,On Demand,Heavily Involved ,Days,5,14%,High,38%,Yes
Steve P. Westly,The Westly Group,"Commercial Products,Commercial Transportation,Energy,Software",,"CleanTech,SaaS",Venture Capital,www.westlygroup.com,"Europe, North America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",15.00,5.00,"Menlo Park, CA",www.westlygroup.com,$1B to $50B,No,5%,3.5,200,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,5,501%,High,0%,No
Sandeep Singhal,WestBridge Capital Partners,"Commercial Services,Software",,"Manufacturing,TMT",Venture Capital,www.westbridgecap.com,India,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",80.00,10.00,"Ebene, Mauritius",www.westbridgecap.com,$50B to $100B,No,6%,6.0,4,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,1,,High,12%,No
Chester Schwartz,Waveland Ventures,"Commercial Products,Communications and Networking,Software",,"Industrials,Manufacturing,TMT",Venture Capital,www.wavelandventures.com,United States,"Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.50,0.25,"Austin, TX",www.wavelandventures.com,$50B to $100B,Yes,9%,7.0,90,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,20%,High,56%,Yes
Derek Norton,Watertower Ventures,"Media,Software",,"Artificial Intelligence & Machine Learning,E-Commerce,Infrastructure,Real Estate Technology,SaaS",Venture Capital,www.watertowerventures.com,"Bay Area, California, Colorado, Illinois, New York Metro, Southern California, Texas, Utah","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"Los Angeles, CA",www.watertowerventures.com,$500B to $1Trillion,No,2%,9.0,67,10X and above,Acquisition,Heavily Supportive,Heavily Involved ,Months,4,5%,High,33%,Yes
Mark M. Colodny,Warburg Pincus,"Buildings and Property,Capital Markets/Institutions,Commercial Banks,Communications and Networking,Consumer Durables,Energy Equipment,Energy Services,Exploration,Production and Refining,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Industrial Supplies and Parts,Insurance,Media,Media and Information Services (B2B),Other Business Products and Services,Other Commercial Products,Other Commercial Services,Other Consumer Products and Services,Other Energy,Other Financial Services,Other Healthcare,Other Information Technology,Other Services (B2C Non-Financial),Pharmaceuticals and Biotechnology,Real Estate Services (B2C),Software,Transportation,Utilities",,"AdTech,Advanced Manufacturing,B2B Payments,CleanTech,Construction Technology,Digital Health,FinTech,Gaming,HealthTech,Industrials,Infrastructure,Life Sciences,LOHAS & Wellness,Manufacturing,Real Estate Technology,SaaS,TMT",PE/Buyout,www.warburgpincus.com,"Brazil, Canada, China, Europe, Hong Kong, India, Middle East, Southeast Asia, Taiwan, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",20.00,1000.00,"New York, NY",www.warburgpincus.com,Over $1Trillion,No,50%,2.0,83,10X and above,Acquisition,Heavily Supportive,Heavily Involved ,Months,2,9%,High,28%,Case by case
Jim Andrew,Walnut Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Software",,"B2B Payments,TMT",Angel Group,www.walnutventures.com,United Kingdom,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Cambridge, MA",www.walnutventures.com,$50B to $100B,Yes,25%,4.0,45,10X and above,Acquisition,Heavily Supportive,Accept Others DD Reports,Months,4,10%,High,39%,Case by case
David C. Schwab,Vertical Venture Partners,"Aerospace and Defense,Commercial Transportation,Communications and Networking,Educational and Training Services (B2C),Financial Services,Healthcare Devices and Supplies,Restaurants,Hotels and Leisure,Retail,Software,Transportation",,"HealthTech,SaaS",Venture Capital,www.vvp.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,0.25,"Palo Alto, CA",www.vvp.vc,$500B to $1Trillion,No,60%,5.0,67,10X and above,Acquisition,Heavily Supportive,Accept Others DD Reports,Weeks,2,5%,High,12%,Case by case
Andrew Flaster,Volition Capital,"Application Software,Automation/Workflow Software,Business/Productivity Software,Cable Service Providers,Commercial Products,Commercial Services,Communication Software,Computer Hardware,Connectivity Products,Database Software,Educational Software,Entertainment Software,Fiberoptic Equipment,Financial Software,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Internet Service Providers,Internet Software,IT Services,Multimedia and Design Software,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Retail,Semiconductors,Telecommunications Service Providers,Wireless Communications Equipment",,"Advanced Manufacturing,Big Data,Cybersecurity,Digital Health,E-Commerce,FinTech,HealthTech,Infrastructure,Manufacturing,SaaS,TMT",Growth/Expansion,www.volitioncapital.com,"Canada, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,5.00,"Boston, MA",www.volitioncapital.com,Over $1Trillion,Yes,40%,7.0,89,10X and above,Liquidation,Weak,Accept Others DD Reports,Weeks,4,20%,High,67%,Case by case
Wendy Coya,Vocap Investment Partners,"Media,Software",,"E-Commerce,FinTech,HealthTech,Infrastructure,Mobile,SaaS",Venture Capital,www.vocappartners.com,"Mid Atlantic, New England, South, Southeast","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",6.00,2.00,"Atlanta, GA",www.vocappartners.com,$1B to $50B,No,30%,1.0,900,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,4,30%,High,75%,Case by case
Sean W. Doolan,Virtue VC,Healthcare,,HealthTech,Venture Capital,www.virtuevc.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"Austin, TX",www.virtuevc.com,,Yes,20%,1.4,32,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,4,1%,Low,12%,Case by case
Eric Reiner,Vine Capital Management,Software,,"Artificial Intelligence & Machine Learning,B2B Payments,CloudTech & DevOps,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,FinTech,HealthTech,HR Tech,InsurTech,Mobile,Mobile Commerce,Mobility Tech,Mortgage Tech,Real Estate Technology,SaaS,Supply Chain Tech",Venture Capital,www.vineventures.com,"Central America, Israel, South America, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.25,"New York, NY",www.vineventures.com,,Yes,10%,1.8,3,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,3,5%,Low,45%,Case by case
William Bo S. Peabody,Village Ventures,Software,,TMT,Venture Capital,www.villageventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.05,"Williamstown, MA",www.villageventures.com,,Yes,50%,2.3,5,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Weeks,3,10%,Low,67%,Case by case
Ross Edward Baird,Village Capital,"Financial Services,Software",,"AgTech,EdTech,FinTech,HealthTech,TMT",Accelerator/Incubator,www.vilcap.com,"Africa, Central America, East Asia, Europe, Middle East, South America, South Asia, Southeast Asia, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.08,0.05,"Washington, DC",www.vilcap.com,,No,80%,3.8,70,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Weeks,4,5%,Medium,89%,Case by case
Kate Bechtold,Vida Ventures (Boston),Pharmaceuticals and Biotechnology,,"Life Sciences,Oncology",Venture Capital,www.vidaventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,10.00,"Los Angeles, CA",www.vidaventures.com,,No,100%,6.6,8,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,3,10%,Medium,44%,Yes
Ian W. Sheridan,Vestigo Ventures,"Other Financial Services,Software",,FinTech,Venture Capital,www.vestigoventures.com,"Canada, North America","Early Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.50,"Cambridge, MA",www.vestigoventures.com,,No,40%,9.5,10,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,5,20%,Medium,22%,No
Andrew Nerlinger,Vesalius Ventures,Healthcare Technology Systems,,"CleanTech,SaaS,TMT",Venture Capital,www.vesaliusventures.com,"Africa, Asia, Middle East","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"Houston, TX",www.vesaliusventures.com,,Yes,50%,20.0,9,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,5,30%,Medium,67%,No
Inbal Tal,Veritas Venture Partners,"Commercial Products,Healthcare Technology Systems,Software",,"FinTech,HealthTech,Mobile",Venture Capital,www.veritasvc.com,"Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.50,0.10,"Ra'anana, Israel",www.veritasvc.com,,Yes,30%,20.0,5,2X - 5X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,5,50%,High,12%,No
Richard Wilmot,Philips Health Technology Venture Fund,"Healthcare,Software",,"HealthTech,SaaS",Corporate Venture Capital,www.ventures.philips.com,"Eastern Europe, United States, Western Europe","Early Stage,Late Stage","Convertible Debt,SAFE,Debt",5.65,2.26,"Amsterdam, Netherlands",www.ventures.philips.com,,No,40%,30.0,6,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,1,20%,High,34%,Yes
Scott Button,Venture Investors,"Diagnostic Equipment,Healthcare Technology Systems,Monitoring Equipment,Other Devices and Supplies,Pharmaceuticals and Biotechnology,Surgical Devices,Therapeutic Devices",,"HealthTech,Life Sciences",Venture Capital,www.ventureinvestors.com,Midwest,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",8.00,0.25,"Madison, WI",www.ventureinvestors.com,,Yes,28%,7.0,10,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,4,5%,High,82%,Yes
Lisa D. Harris,Venrock,"Aerospace and Defense,Commercial Services,Communications and Networking,Healthcare Devices and Supplies,Healthcare Technology Systems,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"AdTech,Artificial Intelligence & Machine Learning,Big Data,Cybersecurity,Digital Health,FinTech,HealthTech,Infrastructure,Life Sciences,Manufacturing,Mobile,Robotics and Drones,SaaS,TMT",Venture Capital,www.venrock.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",3.00,10.00,"Palo Alto, CA",www.venrock.com,,Yes,17%,3.0,5,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,3,10%,High,1%,Yes
Bradley S. Sheftel,Valor Equity Partners,"Commercial Services,Consumer Products and Services (B2C),Information Technology",,"FinTech,FoodTech,Manufacturing,SaaS",Growth/Expansion,www.valorep.com,North America,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",75.00,10.00,"Chicago, IL",www.valorep.com,,No,13%,1.0,40,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Weeks,4,50%,Low,33%,Yes
Raymond Choi,Valley Capital Partners,"Business Products and Services (B2B),Financial Services,Healthcare,Software",,"Artificial Intelligence & Machine Learning,B2B Payments,CloudTech & DevOps,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,FinTech,HealthTech,Infrastructure,InsurTech,Life Sciences,Mortgage Tech,SaaS,TMT",Venture Capital,www.valleycappartners.com,"Americas, Canada, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.50,1.00,"Menlo Park, CA",www.valleycappartners.com,,Yes,55%,0.5,600,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Weeks,2,5%,Low,51%,Yes
Julie K. Goonewardene,UT Horizon Fund,"Healthcare,Information Technology,Materials and Resources",,"HealthTech,SaaS,TMT",Venture Capital,www.uts-innovation.com/horizon-fund,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Austin, TX",www.uts-innovation.com/horizon-fund,,No,80%,8.0,50,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Weeks,5,10%,Low,50%,No
Jonathan D. Root,US Venture Partners,"Communications and Networking,Computer Hardware,Healthcare Services,Other Consumer Products and Services,Pharmaceuticals and Biotechnology,Security Services (B2B),Software",,"Cybersecurity,Digital Health,E-Commerce,HealthTech,Life Sciences,Manufacturing,Mobile,Oncology,SaaS,TMT",Venture Capital,www.usvp.com,West Coast,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,10.00,"Menlo Park, CA",www.usvp.com,,Yes,60%,4.0,55,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Weeks,1,6%,Low,45%,No
Albert Wenger,Union Square Ventures,"Automotive,Distributors/Wholesale,Healthcare,Internet Retail,Media,Media and Information Services (B2B),Multimedia and Design Software,Other Commercial Products,Other Commercial Services,Other Consumer Products and Services,Other Financial Services,Other Retail,Other Software,Other Transportation,Social/Platform Software",,"AdTech,Artificial Intelligence & Machine Learning,B2B Payments,Cryptocurrency/Blockchain,Digital Health,E-Commerce,FinTech,Gaming,HealthTech,Infrastructure,Internet of Things,Mobile,Mobile Commerce,TMT",Venture Capital,www.usv.com,"Asia, Australia, Europe, Middle East, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",6.00,2.50,"New York, NY",www.usv.com,,Yes,54%,3.0,100,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Months,2,10%,Low,36%,No
Mark Suster,Upfront Ventures,"Media,Media and Information Services (B2B),Retail,Software",,"E-Commerce,HealthTech,SaaS,TMT",Venture Capital,www.upfront.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",0.50,30.00,"Santa Monica, CA",www.upfront.com,,Yes,36%,5.0,300,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,5,50%,Low,67%,No
Nitin Pachisia,Unshackled Ventures,"Computer Hardware,Materials and Resources,Software",,"Life Sciences,TMT",Venture Capital,www.unshackledvc.com,United States,Seed,"Convertible Debt,SAFE,Debt",0.30,0.20,"Palo Alto, CA",www.unshackledvc.com,,No,78%,6.0,20,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,4,25%,Low,34%,No
Olivier Gilbert Garel,Unilever Ventures,"Apparel and Accessories,Entertainment Software,Internet Software,Personal Products,Retail,Social/Platform Software",,"AdTech,Advanced Manufacturing,AudioTech,B2B Payments,Beauty,Big Data,Digital Health,E-Commerce,FinTech,FoodTech,HealthTech,Internet of Things,Life Sciences,LOHAS & Wellness,Marketing Tech,Mobile,Mobile Commerce,SaaS,TMT",Corporate Venture Capital,www.unileverventures.com,"Asia, Europe, North America","Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private,Seed","Convertible Debt,SAFE,Debt",17.53,0.29,"London, United Kingdom",www.unileverventures.com,,Yes,90%,10.0,60,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,3,60%,Medium,75%,No
Ashley Cravens,Uncork Capital,"Computer Hardware,Consumer Products and Services (B2C)",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,Digital Health,E-Commerce,HealthTech,LOHAS & Wellness,SaaS,Space Technology",Venture Capital,www.uncorkcapital.com,"Bay Area, Canada, New York Metro, Southern California","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.08,"Palo Alto, CA",www.uncorkcapital.com,,No,16%,3.0,800,10X and above,"IPO,Liquidation",Heavily Supportive,Heavily Involved ,Months,5,50%,High,55%,No
Kevin Hoffberg,Ulu Ventures,Software,,"FinTech,Internet of Things,SaaS,TMT",Venture Capital,www.uluventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.75,"Palo Alto, CA",www.uluventures.com,,Yes,17%,6.0,900,10X and above,"IPO,Liquidation",Heavily Supportive,Heavily Involved ,Months,3,40%,High,56%,No
Kathy Chen,Ulu Ventures,Software,,"FinTech,Internet of Things,SaaS,TMT",Venture Capital,www.uluventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.75,"Palo Alto, CA",www.uluventures.com,,No,30%,9.0,115,10X and above,"IPO,Liquidation",Weak,Heavily Involved ,Weeks,2,70%,High,45%,No
Clint Korver,Ulu Ventures,Software,,"FinTech,Internet of Things,SaaS,TMT",Venture Capital,www.uluventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.75,"Palo Alto, CA",www.uluventures.com,,No,25%,1.0,30,10X and above,IPO,Weak,Heavily Involved ,Weeks,4,30%,Medium,34%,No
Tom Stringham,University Growth Fund,"Business Products and Services (B2B),Business/Productivity Software,Computer Hardware,Consumer Durables,Financial Services,Healthcare Technology Systems,Other Consumer Products and Services,Other Information Technology,Other Software,Semiconductors,Services (Non-Financial)",,"AdTech,AgTech,Artificial Intelligence & Machine Learning,Augmented Reality,B2B Payments,Beauty,Big Data,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FinTech,FoodTech,Gaming,HealthTech,HR Tech,InsurTech,Internet of Things,Legal Tech,Marketing Tech,Mobile,Mobile Commerce,Mobility Tech,Pet Technology,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,Supply Chain Tech,TMT,Virtual Reality,Wearables & Quantified Self",Growth/Expansion,www.ugrowthfund.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Salt Lake City, UT",www.ugrowthfund.com,,Yes,70%,2.0,45,10X and above,IPO,Weak,Heavily Involved ,Weeks,5,20%,Medium,67%,No
Melanie Oldeman,Tullis Health Investors,"Distributors (Healthcare),Healthcare Technology Systems,Medical Supplies,Pharmaceuticals and Biotechnology",,"HealthTech,Life Sciences,Manufacturing,Oncology,TMT",Growth/Expansion,www.tullisfunds.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,0.25,"Palm Beach Gardens, FL",www.tullisfunds.com,,No,54%,,,10X and above,IPO,,,,,,,,
